PlayerName,Year,Team,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp
조동욱,2024,Hanwha,2024-09-28,vs. SSG,RP,,0.0,,0,17,1,1,2,0,0,1,0,,Home,대전 한화생명 볼파크,17:00,26.2
조동욱,2024,Hanwha,2024-09-25,@ LG,SP,,6.0,1.67,3,52,2,2,4,0,2,1,1,43.0,Away,잠실 야구장,18:30,26.4
조동욱,2024,Hanwha,2024-09-18,@ NC,SP,,13.5,2.25,1 ⅓,25,2,2,3,1,1,0,0,41.0,Away,창원 NC 파크,18:30,31.3
조동욱,2024,Hanwha,2024-09-12,vs. Samsung,RP,,7.36,1.09,3 ⅔,60,3,3,4,1,3,0,0,,Home,대전 한화생명 볼파크,18:30,28.8
조동욱,2024,Hanwha,2024-09-08,@ LG,SP,L,4.5,2.0,2,49,2,1,2,0,3,2,1,46.0,Away,잠실 야구장,14:00,31.0
조동욱,2024,Hanwha,2024-08-01,@ KT,RP,,27.0,9.0,0 ⅓,20,4,1,3,0,1,0,0,,Away,수원 KT 위즈파크,18:30,33.1
조동욱,2024,Hanwha,2024-07-31,@ KT,RP,,0.0,0.0,1,10,0,0,0,0,0,0,0,,Away,수원 KT 위즈파크,18:30,32.7
조동욱,2024,Hanwha,2024-07-20,vs. Kia,RP,,6.75,3.0,1 ⅓,30,1,1,4,0,0,0,0,,Home,대전 한화생명 볼파크,18:00,31.9
조동욱,2024,Hanwha,2024-07-19,vs. Kia,RP,,18.0,3.0,1,29,2,2,2,1,2,1,0,,Home,대전 한화생명 볼파크,18:30,29.0
조동욱,2024,Hanwha,2024-07-17,@ NC,RP,,0.0,0.0,1,10,0,0,0,0,1,0,0,,Away,창원 NC 파크,18:30,30.2
조동욱,2024,Hanwha,2024-07-14,vs. LG,RP,,0.0,6.0,0 ⅓,16,0,0,2,0,0,0,0,,Home,대전 한화생명 볼파크,17:00,28.7
조동욱,2024,Hanwha,2024-07-12,vs. LG,RP,,0.0,0.0,1,16,0,0,0,0,1,0,0,,Home,대전 한화생명 볼파크,18:30,30.4
조동욱,2024,Hanwha,2024-07-10,@ Kiwoom,RP,,0.0,1.0,1,14,0,0,1,0,1,0,0,,Away,고척 스카이돔,18:30,25.5
조동욱,2024,Hanwha,2024-07-04,vs. KT,RP,,0.0,1.0,1,21,0,0,1,0,1,0,0,,Home,대전 한화생명 볼파크,18:30,31.8
조동욱,2024,Hanwha,2024-07-02,vs. KT,RP,,0.0,1.5,0 ⅔,11,0,0,1,0,1,0,0,,Home,대전 한화생명 볼파크,18:30,27.6
조동욱,2024,Hanwha,2024-06-27,vs. Doosan,RP,,9.0,2.0,1,15,1,1,2,1,2,0,0,,Home,대전 한화생명 볼파크,18:30,26.8
조동욱,2024,Hanwha,2024-06-09,vs. NC,SP,,2.25,2.0,4,68,1,1,5,0,3,3,1,47.0,Home,대전 한화생명 볼파크,17:00,28.7
조동욱,2024,Hanwha,2024-06-01,@ Samsung,SP,L,9.64,1.93,4 ⅔,95,5,5,6,1,5,3,0,34.0,Away,대구 삼성 라이온즈 파크,17:00,24.0
조동욱,2024,Hanwha,2024-05-24,@ SSG,SP,,12.27,2.18,3 ⅔,77,5,5,7,0,4,1,2,28.0,Away,인천 SSG 랜더스필드,18:30,20.8
조동욱,2024,Hanwha,2024-05-18,@ Samsung,SP,,12.0,2.0,3,49,4,4,5,0,1,1,1,32.0,Away,대구 삼성 라이온즈 파크,17:00,22.1
조동욱,2024,Hanwha,2024-05-12,vs. Kiwoom,SP,W,0.0,0.67,6,70,1,0,3,0,0,1,0,63.0,Home,대전 한화생명 볼파크,14:00,22.2
한승혁,2024,Hanwha,2024-09-29,vs. NC,RP,,0.0,2.0,1,20,0,0,1,0,1,1,0,,Home,대전 한화생명 볼파크,14:00,26.4
한승혁,2024,Hanwha,2024-09-27,vs. Kia,RP,,0.0,2.0,1,17,0,0,1,0,1,1,0,,Home,대전 한화생명 볼파크,18:30,24.4
한승혁,2024,Hanwha,2024-09-25,@ LG,RP,H,0.0,1.0,1,14,0,0,1,0,1,0,0,,Away,잠실 야구장,18:30,26.4
한승혁,2024,Hanwha,2024-09-22,vs. Lotte,RP,H,0.0,0.0,1,14,0,0,0,0,0,0,0,,Home,대전 한화생명 볼파크,14:00,25.7
한승혁,2024,Hanwha,2024-09-19,@ NC,RP,H,9.0,1.0,1,14,1,1,1,1,1,0,0,,Away,창원 NC 파크,18:30,31.9
한승혁,2024,Hanwha,2024-09-17,@ NC,RP,,27.0,9.0,0 ⅓,18,1,1,3,0,0,0,0,,Away,창원 NC 파크,18:30,31.9
한승혁,2024,Hanwha,2024-09-15,@ Lotte,RP,,0.0,,0,5,2,2,2,0,0,0,0,,Away,사직 야구장,14:00,32.7
한승혁,2024,Hanwha,2024-09-14,@ Lotte,RP,,54.0,6.0,0 ⅓,13,2,2,1,0,1,1,0,,Away,사직 야구장,17:00,32.2
한승혁,2024,Hanwha,2024-09-06,@ LG,RP,H,0.0,1.0,1,16,0,0,1,0,1,0,1,,Away,잠실 야구장,18:30,25.3
한승혁,2024,Hanwha,2024-09-05,@ Kia,RP,,0.0,1.0,1,13,0,0,1,0,1,0,0,,Away,광주 기아 챔피언스 필드,18:30,30.7
한승혁,2024,Hanwha,2024-09-03,vs. Doosan,RP,,0.0,0.0,1,16,0,0,0,0,1,0,1,,Home,대전 한화생명 볼파크,18:30,29.1
한승혁,2024,Hanwha,2024-08-31,vs. KT,RP,,27.0,7.5,0 ⅔,36,2,2,2,0,0,3,0,,Home,대전 한화생명 볼파크,18:00,29.7
한승혁,2024,Hanwha,2024-08-28,@ Lotte,RP,,0.0,0.0,1,9,0,0,0,0,1,0,0,,Away,사직 야구장,18:30,30.1
한승혁,2024,Hanwha,2024-08-27,@ Lotte,RP,L,81.0,9.0,0 ⅓,15,3,3,2,0,0,1,0,,Away,사직 야구장,18:30,28.2
한승혁,2024,Hanwha,2024-08-24,@ Doosan,RP,H,0.0,0.0,1,13,0,0,0,0,1,0,0,,Away,잠실 야구장,18:00,31.2
한승혁,2024,Hanwha,2024-08-23,@ Doosan,RP,H,0.0,0.75,1 ⅓,20,0,0,0,0,0,1,0,,Away,잠실 야구장,18:30,31.2
한승혁,2024,Hanwha,2024-08-20,vs. NC,RP,,0.0,,0,4,0,0,0,0,0,1,0,,Home,대전 한화생명 볼파크,18:30,31.0
한승혁,2024,Hanwha,2024-08-17,@ SSG,RP,H,0.0,2.0,1,25,0,0,0,0,2,2,0,,Away,인천 SSG 랜더스필드,18:00,32.0
한승혁,2024,Hanwha,2024-08-16,@ SSG,RP,H,0.0,0.75,1 ⅓,19,0,0,1,0,1,0,0,,Away,인천 SSG 랜더스필드,18:30,32.3
한승혁,2024,Hanwha,2024-08-14,vs. LG,RP,W,0.0,3.0,1,17,0,0,2,0,2,1,0,,Home,대전 한화생명 볼파크,18:30,32.0
한승혁,2024,Hanwha,2024-08-09,vs. Kiwoom,RP,W,0.0,0.75,1 ⅓,23,0,0,1,0,0,0,0,,Home,대전 한화생명 볼파크,18:30,32.4
한승혁,2024,Hanwha,2024-08-08,@ Samsung,RP,H,0.0,0.0,1,17,0,0,0,0,3,0,0,,Away,대구 삼성 라이온즈 파크,18:30,30.6
한승혁,2024,Hanwha,2024-08-06,@ Samsung,RP,,9.0,3.0,1,26,1,1,2,0,0,1,0,,Away,대구 삼성 라이온즈 파크,18:30,31.2
한승혁,2024,Hanwha,2024-08-02,vs. Kia,RP,,0.0,1.0,1,12,0,0,1,0,1,0,0,,Home,대전 한화생명 볼파크,18:30,33.8
한승혁,2024,Hanwha,2024-07-30,@ KT,RP,H,0.0,0.0,1,13,0,0,0,0,2,0,0,,Away,수원 KT 위즈파크,18:30,32.4
