PlayerName,Year,Team,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp
배재환,2024,NC,2024-09-24,@ Doosan,RP,,0.0,0.0,1,2,0,0,0,0,0,0,0,,Away,잠실 야구장,18:30,24.0
배재환,2024,NC,2024-09-10,@ KT,RP,,27.0,4.5,0 ⅔,31,2,2,1,1,0,2,0,,Away,수원 KT 위즈파크,18:30,31.5
배재환,2024,NC,2024-09-07,@ Samsung,RP,,0.0,1.0,1,24,0,0,0,0,2,1,0,,Away,대구 삼성 라이온즈 파크,17:00,30.8
배재환,2024,NC,2024-09-05,vs. Kiwoom,RP,,4.5,1.0,2,32,1,1,2,1,1,0,0,,Home,창원 NC 파크,18:30,30.9
배재환,2024,NC,2024-08-16,vs. Samsung,RP,,0.0,0.0,0 ⅓,1,0,0,0,0,0,0,0,,Home,창원 NC 파크,18:30,31.1
배재환,2024,NC,2024-07-27,vs. Lotte,RP,,0.0,3.0,1,25,0,0,1,0,0,2,0,,Home,창원 NC 파크,18:00,32.0
배재환,2024,NC,2024-07-23,@ Kia,RP,,18.0,2.0,1,25,2,2,2,1,0,0,0,,Away,광주 기아 챔피언스 필드,18:30,29.9
배재환,2024,NC,2024-07-12,vs. Kiwoom,RP,,0.0,1.5,0 ⅔,7,0,0,1,0,0,0,0,,Home,창원 NC 파크,18:30,29.3
배재환,2024,NC,2024-07-10,@ Samsung,RP,,0.0,1.0,1,21,0,0,0,0,3,1,0,,Away,대구 삼성 라이온즈 파크,18:30,25.8
배재환,2024,NC,2024-06-30,vs. LG,RP,,27.0,3.0,0 ⅔,12,2,2,2,1,0,0,0,,Home,창원 NC 파크,17:00,27.5
배재환,2024,NC,2024-06-26,@ Kiwoom,RP,,18.0,2.0,1,20,2,2,1,0,1,1,0,,Away,고척 스카이돔,18:30,25.5
배재환,2024,NC,2024-06-23,@ SSG,RP,,0.0,3.0,0 ⅔,12,0,0,1,0,0,1,0,,Away,인천 SSG 랜더스필드,17:00,27.5
배재환,2024,NC,2024-06-22,@ SSG,RP,,0.0,1.5,1 ⅓,28,1,0,1,0,1,1,0,,Away,인천 SSG 랜더스필드,17:00,26.1
배재환,2024,NC,2024-06-18,@ Doosan,RP,,40.5,6.0,0 ⅔,25,3,3,3,0,0,1,0,,Away,잠실 야구장,18:30,28.9
배재환,2024,NC,2024-06-15,vs. Samsung,RP,,0.0,1.0,1,17,0,0,1,0,1,0,0,,Home,창원 NC 파크,17:00,29.9
배재환,2024,NC,2024-06-14,vs. Samsung,RP,L,9.0,1.0,1,14,1,1,1,0,1,0,0,,Home,창원 NC 파크,18:30,27.5
배재환,2024,NC,2024-06-12,vs. KT,RP,,0.0,0.0,1,18,0,0,0,0,0,0,0,,Home,창원 NC 파크,18:30,28.3
배재환,2024,NC,2024-06-11,vs. KT,RP,,0.0,6.0,0 ⅓,16,0,0,1,0,1,1,0,,Home,창원 NC 파크,18:30,26.6
배재환,2024,NC,2024-06-09,@ Hanwha,RP,,0.0,1.5,2,32,0,0,0,0,2,3,0,,Away,대전 한화생명 볼파크,17:00,28.7
배재환,2024,NC,2024-06-02,@ Lotte,RP,,20.25,2.25,1 ⅓,26,3,3,2,1,0,1,0,,Away,사직 야구장,17:00,21.6
배재환,2020,NC,2020-10-10,@ LG,RP,,0.0,3.0,1,26,0,0,0,0,0,3,1,,Away,잠실 야구장,17:00,20.1
배재환,2020,NC,2020-09-12,vs. Kia,RP,,9.0,3.0,1,32,2,1,2,0,0,1,0,,Home,창원 NC 파크,17:00,24.0
배재환,2020,NC,2020-09-11,vs. KT,RP,,0.0,9.0,0 ⅓,23,0,0,0,0,1,3,0,,Home,창원 NC 파크,18:30,25.2
